CODE_IRIS_2022,CODE_IRIS_2021,CODE_IRIS_2020,CODE_IRIS_2019,CODE_IRIS_2018,CODE_IRIS_2017,CODE_IRIS_2016,CODE_IRIS_2015,CODE_IRIS_2014,CODE_IRIS_2013,CODE_IRIS_2012,CODE_IRIS_2011,CODE_IRIS_2010,CODE_IRIS_2009,CODE_IRIS_2008,CODE_IRIS_1999
028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100301,028100301,028100301,028100301
030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030940000
030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950111,030950104
031580000,031580000,031580000,031580000,031580000,031580000,031580000,031230000,031230000,031230000,031230000,031230000,031230000,031230000,031230000,031230000
031580000,031580000,031580000,031580000,031580000,031580000,031580000,031530000,031530000,031530000,031530000,031530000,031530000,031530000,031530000,031530000
031680000,031680000,031680000,031680000,031680000,031680000,033180000,033180000,033180000,033180000,033180000,033180000,033180000,033180000,033180000,033180000
040330000,040330000,040330000,040330000,040330000,040330000,041980000,041980000,041980000,041980000,041980000,041980000,041980000,041980000,041980000,041980000
041200000,041200000,041200000,041200000,041200000,041200000,041200000,041000000,041000000,041000000,041000000,041000000,041000000,041000000,041000000,041000000
050010000,050010000,050010000,050010000,051200000,051200000,051200000,051200000,051200000,051200000,051200000,051200000,051200000,051200000,051200000,051200000
050240000,050240000,050240000,050240000,050240000,050880000,050880000,050880000,050880000,050880000,050880000,050880000,050880000,050880000,050880000,050880000
050240000,050240000,050240000,050240000,050240000,051500000,051500000,051500000,051500000,051500000,051500000,051500000,051500000,051500000,051500000,051500000
050390000,050390000,050390000,050390000,050390000,050430000,050430000,050430000,050430000,050430000,050430000,050430000,050430000,050430000,050430000,050430000
050390000,050390000,050390000,050390000,050390000,051410000,051410000,051410000,051410000,051410000,051410000,051410000,051410000,051410000,051410000,051410000
050530000,050530000,050530000,050530000,050530000,050530000,050530000,050690000,050690000,050690000,050690000,050690000,050690000,050690000,050690000,050690000
050530000,050530000,050530000,050530000,050530000,050530000,050530000,051430000,051430000,051430000,051430000,051430000,051430000,051430000,051430000,051430000
051010000,051010000,051010000,051010000,051010000,051010000,051750000,051750000,051750000,051750000,051750000,051750000,051750000,051750000,051750000,051750000
051180000,051180000,051180000,051180000,051180000,051180000,051180000,050050000,050050000,050050000,050050000,050050000,050050000,050050000,050050000,050050000
051180000,051180000,051180000,051180000,051180000,051180000,051180000,050340000,050340000,050340000,050340000,050340000,050340000,050340000,050340000,050340000
051320000,051320000,051320000,051320000,051320000,051320000,051320000,051320000,051320000,051320000,050200000,050200000,050200000,050200000,050200000,050200000
051320000,051320000,051320000,051320000,051320000,051320000,051320000,051320000,051320000,051320000,050670000,050670000,050670000,050670000,050670000,050670000
051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,050020000,050020000,050020000,050020000,050020000,050020000
051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,050420000,050420000,050420000,050420000,050420000,050420000
051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051390000,051380000,051380000,051380000,051380000,051380000,051380000
060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290131,060290129
060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290132,060290129
060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850107,060850106
060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850108,060850106
070110000,070110000,070110000,070110000,070160000,070160000,070160000,070160000,070160000,070160000,070160000,070160000,070160000,070160000,070160000,070160000
071030000,071030000,071030000,071030000,072520000,072520000,072520000,072520000,072520000,072520000,072520000,072520000,072520000,072520000,072520000,072520000
071650000,071650000,071650000,071650000,072560000,072560000,072560000,072560000,072560000,072560000,072560000,072560000,072560000,072560000,072560000,072560000
072620000,072620000,072620000,072620000,071350000,071350000,071350000,071350000,071350000,071350000,071350000,071350000,071350000,071350000,071350000,071350000
080530000,080530000,080530000,080530000,080530000,080530000,083710000,083710000,083710000,083710000,083710000,083710000,083710000,083710000,083710000,083710000
080530000,080530000,080530000,080530000,080530000,080530000,084750000,084750000,084750000,084750000,084750000,084750000,084750000,084750000,084750000,084750000
081150000,081150000,081150000,081150000,081150000,081150000,081150000,081140000,081140000,081140000,081140000,081140000,081140000,081140000,081140000,081140000
081160000,081160000,081160000,081160000,081160000,081160000,081160000,080070000,080070000,080070000,080070000,080070000,080070000,080070000,080070000,080070000
081160000,081160000,081160000,081160000,081160000,081160000,081160000,082610000,082610000,082610000,082610000,082610000,082610000,082610000,082610000,082610000
081450000,081450000,081450000,081450000,081450000,081450000,081450000,082670000,082670000,082670000,082670000,082670000,082670000,082670000,082670000,082670000
081730000,081730000,081730000,081730000,080420000,080420000,080420000,080420000,080420000,080420000,080420000,080420000,080420000,080420000,080420000,080420000
081730000,081730000,081730000,081730000,080790000,080790000,080790000,080790000,080790000,080790000,080790000,080790000,080790000,080790000,080790000,080790000
081730000,081730000,081730000,081730000,081520000,081520000,081520000,081520000,081520000,081520000,081520000,081520000,081520000,081520000,081520000,081520000
081980000,081980000,081980000,081980000,081980000,081980000,081980000,084410000,084410000,084410000,084410000,084410000,084410000,084410000,084410000,084410000
083110000,083110000,083110000,083110000,083110000,083110000,083110000,080090000,080090000,080090000,080090000,080090000,080090000,080090000,080090000,080090000
084900201,084900201,084900201,084900201,084900201,084900201,084430000,084430000,084430000,084430000,084430000,084430000,084430000,084430000,084430000,084430000
084900201,084900201,084900201,084900201,084900201,084900201,084930000,084930000,084930000,084930000,084930000,084930000,084930000,084930000,084930000,084930000
084910000,084910000,084910000,084910000,084910000,084910000,080720000,080720000,080720000,080720000,080720000,080720000,080720000,080720000,080720000,080720000
090620000,090620000,090620000,090620000,090620000,090620000,093170000,093170000,093170000,093170000,093170000,093170000,093170000,093170000,093170000,093170000
092960000,092960000,092960000,092960000,090280000,090280000,090280000,090280000,090280000,090280000,090280000,090280000,090280000,090280000,090280000,090280000
093340000,093340000,093340000,093340000,091350000,091350000,091350000,091350000,091350000,091350000,091350000,091350000,091350000,091350000,091350000,091350000
093340000,093340000,093340000,093340000,092860000,092860000,092860000,092860000,092860000,092860000,092860000,092860000,092860000,092860000,092860000,092860000
093340000,093340000,093340000,093340000,093020000,093020000,093020000,093020000,093020000,093020000,093020000,093020000,093020000,093020000,093020000,093020000
100030000,100030000,100030000,100030000,100030000,100030000,100030000,102770000,102770000,102770000,102770000,102770000,102770000,102770000,102770000,102770000
100030000,100030000,100030000,100030000,100030000,100030000,100030000,104150000,104150000,104150000,104150000,104150000,104150000,104150000,104150000,104150000
100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100380000,100540000
103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,103830000,100540000
110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690702,110690701
110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690703,110690701
110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760101
110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760106,110760103
110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760107,110760103
